"pdfPage","exactOcrText","fuzzyCandidates","currentBundledRepresentation","currentFirestoreRepresentation","printedDistrictMapping","confidence","reasonAmbiguous","suggestedResolution","reviewStatus"
"46","iolrødvej I Brønshøj/Husum","Ilfordvej | Solrødvej | Bolandsvej","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.778","audit status: rule_or_exception; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"46","*parresholmvei I Brønshøi/Husum","Prisholmvej | Sparresholmvej | Thureholmvej","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.750","audit status: rule_or_exception; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"47","*tore Konaensaade I Indre By","Trekronergade | Turesensgade | Hiort Lorenzens Gade","","not captured per candidate in completed read-only audit","Indre By","0.714","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"47","itoregårdsvej I Brønshøj/Husum","Irlandsvej | Toftegårdsvej | Tomsgårdsvej","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.696","audit status: rule_or_exception; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"47","itorkebakken I Brønshøi/Husum","Storkebakken | Lærkebakken | Horsebakken","","not captured per candidate in completed read-only audit","Brønshøj/Husum","1.000","audit status: rule_or_exception","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"47","*trandaade I Christianshavn","Travemündegade | Urbansgade | Arendalsgade","","not captured per candidate in completed read-only audit","Christianshavn","0.696","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"48","Strvnøqade I Ydre Østerbro","Strynøgade | Stevnsgade | Sorøgade","","not captured per candidate in completed read-only audit","Ydre Østerbro","0.800","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"48","*venskeleiren I Brønshøi/Husum","Vinkelstien | Svenskelejren | Skolesiden","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.696","audit status: rule_or_exception; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"49","iørupvei I Brønshøi/Husum","Ørnstrupvej | Rugvej | Ørnevej","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.778","audit status: rule_or_exception; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"50","rhoravei I Bispebiera","Haven | Thoravej | Dortheavej","","not captured per candidate in completed read-only audit","Bispebjerg","0.667","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"50","horsgade I Ydre Nørrebro","Horsensgade | Thorsgade | Korsgade","","not captured per candidate in completed read-only audit","Ydre Nørrebro","0.842","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"50","horsmindevei I Vanløse","Horsekildevej | Thorsmindevej | Edelsmindevej","","not captured per candidate in completed read-only audit","Vanløse","0.720","audit status: rule_or_exception; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"50","hvrasaade I Ydre Nørrebro","Haraldsgade | Thyrasgade | Ahornsgade","","not captured per candidate in completed read-only audit","Ydre Nørrebro","0.700","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"50","hyvei I Vanløse","Havvej | Thyvej | Hejsvej","","not captured per candidate in completed read-only audit","Vanløse","0.727","audit status: rule_or_exception; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"52","Trøiboraaade I Vesterbro","Trøjborggade | Tibirkgade | Viborggade","","not captured per candidate in completed read-only audit","Vesterbro","0.750","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"52","Tværaade I Indre Østerbro","Tovværkgade | Tjæregade | Sværtegade","","not captured per candidate in completed read-only audit","Indre Østerbro","0.737","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"52","Tybierqvei I Vanløse","Tybjergvej | Lydersvej | Væbnervej","","not captured per candidate in completed read-only audit","Vanløse","0.700","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"54","led Sporsløifen I Ydre Østerbro","Lersøstien | Ved Sporsløjfen | Mesterstien","","not captured per candidate in completed read-only audit","Ydre Østerbro","0.667","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"54","led Vænget I Indre Østerbro","Lodsvænget | Ved Vænget | Solvænget","","not captured per candidate in completed read-only audit","Indre Østerbro","0.842","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"55","lesteraårdsporten I Bispebierq","Lille Strandstien | Vestergårdsporten | Vestergårdsvej","","not captured per candidate in completed read-only audit","Bispebjerg","0.667","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"55","lesterqårdsvei I Bispebiera","Løjtegårdsvej | Vestergårdsvej | Rostgaardsvej","","not captured per candidate in completed read-only audit","Bispebjerg","0.667","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"55","lesterhavsvei I Indre Østerbro","Lergravsvej | Vesterhavsvej | Vestergårdsvej","","not captured per candidate in completed read-only audit","Indre Østerbro","0.667","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"56","læbnervej I Bispebiera","Liberiavej | Væbnervej | Kæmnervej","","not captured per candidate in completed read-only audit","Bispebjerg","0.737","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
